"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2021","27,150.0","27,430.0","27,500.0","27,150.0","53.25K","-1.24%"
"06/21/2021","27,490.0","27,350.0","27,740.0","27,280.0","87.48K","-1.12%"
"06/18/2021","27,800.0","27,500.0","27,800.0","27,300.0","408.93K","1.09%"
"06/17/2021","27,500.0","27,620.0","27,780.0","27,440.0","88.60K","-0.54%"
"06/16/2021","27,650.0","27,950.0","27,950.0","27,650.0","31.83K","-0.18%"
"06/15/2021","27,700.0","28,100.0","28,530.0","27,520.0","220.51K","-2.19%"
"06/11/2021","28,320.0","28,100.0","28,480.0","27,930.0","284.57K","0.78%"
"06/10/2021","28,100.0","28,490.0","28,520.0","28,010.0","182.97K","-0.85%"
"06/09/2021","28,340.0","28,200.0","28,340.0","27,730.0","406.67K","0.53%"
"06/08/2021","28,190.0","27,800.0","28,190.0","27,220.0","184.66K","1.40%"
"06/04/2021","27,800.0","28,000.0","28,000.0","27,500.0","56.53K","-1.91%"
"06/03/2021","28,340.0","27,800.0","28,340.0","27,700.0","97.55K","1.94%"
"06/02/2021","27,800.0","28,000.0","28,000.0","27,220.0","220.90K","0.32%"
"06/01/2021","27,710.0","27,490.0","27,930.0","27,480.0","118.94K","2.63%"
"05/31/2021","27,000.0","27,780.0","27,780.0","27,000.0","257.45K","-1.10%"
"05/28/2021","27,300.0","27,600.0","27,900.0","27,000.0","339.14K","-0.73%"
"05/27/2021","27,500.0","27,200.0","27,680.0","27,200.0","3.85M","1.10%"
"05/26/2021","27,200.0","27,450.0","27,450.0","27,200.0","47.35K","-1.05%"
"05/25/2021","27,490.0","27,410.0","27,530.0","27,170.0","118.85K","0.33%"
"05/24/2021","27,400.0","27,600.0","27,770.0","27,200.0","123.03K","-1.12%"
"05/21/2021","27,710.0","27,900.0","28,480.0","27,540.0","330.31K","-0.61%"
"05/20/2021","27,880.0","28,100.0","28,100.0","27,390.0","235.49K","-1.31%"
"05/19/2021","28,250.0","28,400.0","28,400.0","27,960.0","117.66K","-0.53%"
"05/18/2021","28,400.0","28,700.0","28,800.0","28,260.0","119.84K","-1.93%"
"05/14/2021","28,960.0","28,200.0","28,960.0","28,200.0","234.74K","3.76%"
"05/13/2021","27,910.0","28,500.0","28,600.0","27,910.0","645.00K","-2.62%"
"05/12/2021","28,660.0","28,080.0","28,660.0","28,080.0","1.31M","-0.97%"
"05/11/2021","28,940.0","29,300.0","29,300.0","28,600.0","171.77K","-1.96%"
"05/10/2021","29,520.0","29,230.0","29,610.0","29,230.0","338.40K","2.00%"
"05/07/2021","28,940.0","28,500.0","28,950.0","28,330.0","523.63K","1.47%"
"05/06/2021","28,520.0","27,890.0","28,520.0","27,410.0","334.89K","3.11%"
"05/05/2021","27,660.0","27,500.0","28,200.0","27,330.0","219.98K","2.07%"
"05/04/2021","27,100.0","27,010.0","27,800.0","26,800.0","60.73K","-1.09%"
"05/03/2021","27,400.0","28,300.0","28,300.0","27,030.0","39.83K","-1.86%"
"04/30/2021","27,920.0","28,430.0","28,480.0","27,920.0","278.78K","-2.04%"
"04/29/2021","28,500.0","28,960.0","29,540.0","28,460.0","116.35K","-1.72%"
"04/28/2021","29,000.0","29,500.0","29,950.0","29,000.0","345.50K","-1.76%"
"04/27/2021","29,520.0","29,000.0","29,520.0","29,000.0","175.99K","1.83%"
"04/26/2021","28,990.0","29,290.0","29,290.0","28,800.0","134.85K","0.66%"
"04/23/2021","28,800.0","29,320.0","29,320.0","28,700.0","88.46K","-1.91%"
"04/22/2021","29,360.0","29,640.0","29,670.0","29,250.0","111.65K","-1.48%"
"04/21/2021","29,800.0","29,840.0","29,850.0","29,700.0","110.10K","-1.65%"
"04/20/2021","30,300.0","29,760.0","30,300.0","29,400.0","181.66K","0.80%"
"04/19/2021","30,060.0","30,100.0","30,330.0","29,700.0","70.62K","-0.92%"
"04/16/2021","30,340.0","30,020.0","30,650.0","30,020.0","175.61K","-1.65%"
"04/15/2021","30,850.0","29,450.0","30,850.0","29,450.0","292.40K","3.25%"
"04/14/2021","29,880.0","29,600.0","29,900.0","29,470.0","288.57K","1.74%"
