"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2022","40,780.0","39,020.0","40,780.0","39,010.0","6.91K","-0.51%"
"12/05/2022","40,990.0","37,790.0","41,000.0","37,790.0","38.14K","8.44%"
"12/02/2022","37,800.0","38,000.0","38,000.0","37,500.0","10.41K","0.80%"
"12/01/2022","37,500.0","36,010.0","40,400.0","36,010.0","1.39K","-1.45%"
"11/30/2022","38,050.0","37,530.0","38,050.0","37,530.0","3.16M","1.39%"
"11/29/2022","37,530.0","37,530.0","37,530.0","37,530.0","3.46K","-4.46%"
"11/28/2022","39,280.0","39,280.0","39,280.0","39,280.0","1.26K","-0.56%"
"11/25/2022","39,500.0","39,000.0","40,000.0","39,000.0","1.19K","-2.45%"
"11/24/2022","40,490.0","39,740.0","40,490.0","39,740.0","8.39K","1.86%"
"11/23/2022","39,750.0","39,770.0","39,770.0","37,330.0","10.93K","1.92%"
"11/22/2022","39,000.0","35,240.0","39,000.0","35,240.0","8.15K","0.00%"
"11/21/2022","39,000.0","40,510.0","40,510.0","39,000.0","9.25K","-4.88%"
"11/18/2022","41,000.0","41,500.0","41,800.0","41,000.0","4.06K","-2.15%"
"11/17/2022","41,900.0","41,830.0","41,900.0","40,700.0","10.05K","1.48%"
"11/16/2022","41,290.0","41,990.0","41,990.0","40,530.0","3.29K","0.46%"
"11/15/2022","41,100.0","41,250.0","42,460.0","41,100.0","11.54K","-0.36%"
"11/11/2022","41,250.0","42,000.0","42,460.0","41,250.0","18.40K","-0.22%"
"11/10/2022","41,340.0","42,000.0","42,000.0","41,340.0","3.09K","-0.82%"
"11/09/2022","41,680.0","40,500.0","41,700.0","40,500.0","11.80K","-0.05%"
"11/08/2022","41,700.0","41,480.0","42,000.0","41,480.0","22.28K","-0.71%"
"11/04/2022","42,000.0","41,970.0","42,000.0","40,010.0","29.67K","0.05%"
"11/03/2022","41,980.0","39,980.0","41,980.0","39,700.0","27.85K","4.98%"
"11/02/2022","39,990.0","40,000.0","40,000.0","38,610.0","43.53K","-0.03%"
"11/01/2022","40,000.0","39,870.0","40,500.0","39,200.0","4.09K","0.48%"
